netName,util,cp,N,totPins,avgPins,bboxArea,bboxAr,bboxX,bboxY,bboxPerim,numPins,numVias
{key[23]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[22]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[21]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[20]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[19]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[18]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[17]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[16]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[15]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[14]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[13]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[12]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[11]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[10]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[9]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[8]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[7]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[6]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[5]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[4]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[3]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[2]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[1]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[0]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[127]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[126]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[125]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[124]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[123]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[122]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[121]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[120]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[119]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[118]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[117]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[116]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[115]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[114]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[113]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[112]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[111]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[110]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[109]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
